Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
India,32,Salesperson,High School,43865.49,5.81,75,0.84,-1.55,3.36,1.44,2.14,5.22,1.32,61.47,80.8,23.72,95.8,1.7,5G,Other,No,Low,16.43,Yes,16,106,39.36
UK,26,Artist,Master's,41868.19,9.05,61,3.13,2.5,0.8,2.42,1.44,6.23,0.66,96.11,98.99,39.72,25.03,0.9,4G,Samsung,Yes,Severe,32.87,No,12,111,9.45
Germany,70,Doctor,High School,59636.51,5.76,58,2.12,1.96,1.84,1.98,1.92,6.57,1.93,73.68,44.64,94.47,99.54,1.69,WiFi,Samsung,Yes,Severe,27.45,No,18,90,50.27
UK,44,Engineer,None,39022.07,6.71,80,1.6,2.7,1.9,2.43,1.82,7.27,0.94,53.42,10.89,5.03,66.49,1.11,3G,Apple,Yes,Moderate,30.85,No,17,60,30.82
Brazil,46,Student,None,-783.98,6.31,136,1.51,1.73,1.48,1.3,1.76,5.43,1.04,67.01,37.54,17.29,14.72,1.06,3G,Xiaomi,No,High,10.38,Yes,18,127,21.7
Japan,34,Student,PhD,19751.8,8.94,129,2.28,2.49,0.97,1.39,2.66,6.21,1.14,25.15,97.45,65.54,63.04,1.32,5G,Xiaomi,No,Low,17.51,No,8,78,14.38
China,51,Doctor,Master's,22956.76,4.18,65,1.75,2.07,0.33,1.58,1.98,4.84,1.33,4.94,27.16,80.16,83.2,1.08,WiFi,Huawei,Yes,Severe,44.52,No,11,82,79.63
Russia,68,Salesperson,High School,62102.93,10.05,87,2.13,2.99,1.67,2.06,1.51,6.81,1.43,44.33,95.16,20.94,62.53,1.02,5G,Samsung,Yes,Low,26.66,No,12,102,52.16
Nigeria,33,Salesperson,None,26629.11,7.45,50,2.02,0.49,2.41,1.6,2.98,6.54,1.4,55.45,59.96,95.1,95.94,0.77,5G,Apple,Yes,High,24.49,No,8,85,31.52
India,38,Salesperson,High School,43121.39,6.87,95,2.27,0,2.44,1.37,2.55,6.04,1.55,85.13,38.3,4.32,33.65,1.74,4G,OnePlus,Yes,High,29.05,No,14,120,97.4
Brazil,36,Teacher,Master's,20817.23,5.87,94,1.46,2.47,2.14,1.36,2.29,5.41,0.61,43.34,11.48,36.97,9.31,1.93,WiFi,Other,Yes,High,25.57,No,8,70,22.05
Russia,34,Manager,Bachelor's,33236.88,8.09,86,2.58,1.89,2.42,0.98,2.19,6.52,0.79,7.35,93.59,43.44,69.66,2.53,4G,Other,No,Moderate,17.14,No,13,95,24.82
USA,18,Engineer,Bachelor's,16430.69,5.01,75,1.12,0.69,1.26,1.63,1.11,7.42,1.4,88.7,58.26,24.99,23.15,2.16,4G,Samsung,Yes,Severe,29.76,Yes,8,112,37.84
Germany,49,Teacher,High School,30612.87,5.22,62,3.16,2.58,2.25,1.02,3.23,6.26,0.33,11.29,68.24,83.12,79.94,1.21,3G,Huawei,No,Moderate,26.45,No,17,98,62.58
India,62,Student,High School,10372.75,9.32,69,2.64,0.78,1.55,1.21,2.54,7.1,0.56,28.51,81.22,25.05,77.97,1.64,4G,Other,No,Moderate,34.46,Yes,16,116,31.8
Japan,58,Artist,High School,33600.33,4.68,108,2.43,1.86,4.63,2.34,1.32,6.21,1.11,80.67,5.48,42.45,16.43,1.09,5G,Xiaomi,No,Severe,7.12,Yes,16,93,7.82
USA,51,Manager,None,41764.15,8.19,47,1.29,1.72,1.44,1.16,2.72,6.34,0.35,99.02,39.11,41.98,77.2,1.64,WiFi,Xiaomi,No,Moderate,23.55,Yes,12,149,10.65
Mexico,18,Doctor,PhD,40513.1,6.06,68,1.38,-0.52,1.27,1.99,2.46,6.68,1.07,61.56,51.64,48.92,41.25,2.33,4G,Xiaomi,No,Severe,31.2,No,13,12,47.86
USA,33,Manager,None,6521.03,5.79,47,-0.22,0.34,1.88,1.23,1.11,4.86,1.11,28.44,29.96,15.42,16.75,-0.18,WiFi,Xiaomi,No,Severe,41.45,Yes,11,99,14.92
India,22,Manager,PhD,40098.41,5.64,99,2.87,0.51,2.44,1.11,4.06,6.29,0.77,34.91,65.1,76.13,72.57,1.55,3G,Xiaomi,Yes,Severe,21.51,Yes,20,52,63.38
UK,67,Manager,Master's,-21472.99,5.85,55,2.2,0.11,1.7,0.44,3.1,7.27,0.46,24.76,14.33,43.02,29,1.84,4G,OnePlus,No,High,26.45,Yes,18,40,13.4
UK,15,Unemployed,Master's,32969.28,6.28,129,1.39,2.58,1.65,1.82,2.63,6.58,1.12,71.66,98.86,78.81,62.92,0.04,5G,Samsung,Yes,High,32.38,No,18,124,15.88
UK,12,Unemployed,PhD,26712.11,4.43,77,1.25,0.81,1.11,1.58,2.45,4.43,1.27,24.99,85.28,84.19,64.97,3.18,3G,Apple,No,Severe,29.83,Yes,16,125,71.33
Nigeria,47,Unemployed,PhD,21716.65,4.58,94,3.55,2.35,0.58,1.9,2.13,5.93,1.11,63.32,31.19,16,78.69,1.84,3G,Samsung,No,Moderate,42.61,Yes,14,193,23.43
Germany,59,Unemployed,PhD,9842.34,8.01,109,0.84,1.82,1.55,1.8,0.57,4.92,0.53,75.96,72.52,58.81,56.49,2.36,4G,OnePlus,Yes,Severe,44.71,Yes,10,102,88.11
Russia,14,Doctor,High School,13479.02,-0.06,124,2.58,0.22,1.15,1.9,0.81,6.71,0.31,42.89,32.28,3.62,45.07,2.52,5G,Other,No,High,21.46,Yes,15,100,67.37
India,17,Unemployed,High School,56916.82,7.96,21,2.48,1.25,3.64,1.13,0.29,5.76,0.58,23.22,29.45,67.5,31.97,1.86,WiFi,Other,Yes,High,33.24,Yes,16,81,27.39
China,18,Unemployed,High School,9879.63,4.42,79,1.3,3.61,1.52,1.43,1.93,4.39,1.65,94.47,72.47,23.06,37.18,0.46,4G,Apple,Yes,High,35.65,Yes,13,110,20.23
Japan,16,Teacher,PhD,24063.91,5.36,86,1.94,1.09,1.76,0.63,0.25,5.92,0.7,22.59,34.05,51.7,97.24,0.92,4G,OnePlus,No,High,31.07,No,16,80,60.18
UK,54,Teacher,PhD,30169.2,4.15,90,0.56,-0.66,1.93,0.76,5,6.7,1.37,89.2,22.99,18.36,40.77,2.49,5G,Samsung,Yes,High,30.12,Yes,16,113,29.02
Russia,46,Unemployed,High School,42586.1,10.78,42,3.4,2.39,2.24,1.06,0.75,6.35,0.26,67.33,3.06,87.38,97.16,1.43,3G,Huawei,Yes,Severe,20.09,No,8,48,25.3
China,18,Engineer,Bachelor's,9612.64,4.27,105,0.47,1.87,2.34,1.44,1.55,5.48,0.26,36.6,46.42,1.04,36.4,2.36,WiFi,Xiaomi,No,Severe,31.13,Yes,11,97,93.39
USA,40,Salesperson,Bachelor's,36207.99,7.94,65,0.61,1.54,3.28,0.9,2.89,6.25,0.55,18.91,97.11,55.54,75.19,2.11,WiFi,Apple,No,Severe,9.38,Yes,20,125,11.8
Nigeria,17,Student,Bachelor's,31923.16,6.01,95,2.4,2.31,1.83,1.15,2.13,4.71,0.98,82.92,16.8,95.53,64.49,2.29,WiFi,Apple,No,High,14.3,No,8,116,59.43
Nigeria,50,Salesperson,Master's,23504.44,5.26,105,2.16,2.41,2.47,0.63,2.06,6.57,2,80.94,28.7,17.27,65.33,1.24,5G,Xiaomi,No,Moderate,28.07,No,10,70,54.43
UK,18,Manager,Bachelor's,29571.43,3.89,61,1.17,0.34,1.4,2.79,2.58,7.26,1.17,66.65,78.05,62.7,24.48,2.26,5G,Other,Yes,Low,17.6,No,13,107,47.43
UK,54,Teacher,PhD,35539.71,5.17,7,3.29,-0.5,0.04,1.52,3.05,5.07,1.63,57.16,71.46,77.56,95.05,0.87,3G,Samsung,Yes,High,24.14,No,11,166,80
Mexico,59,Unemployed,High School,24786.22,6.01,16,4.17,0.7,4.16,1.51,1.95,6.38,1.22,61.62,23.85,6.22,72.13,1.15,3G,Xiaomi,Yes,Severe,38.26,No,14,124,11.56
Germany,49,Doctor,Master's,25684.77,6.45,107,1.81,0.71,1.23,2.17,2.38,5.63,1.48,1.02,67.08,74.55,8.49,1.17,4G,OnePlus,No,High,22.68,Yes,15,50,88.27
UK,47,Doctor,Bachelor's,23753.87,4.56,115,1.83,0.31,1.66,1.25,1.62,7.09,1.41,26.41,36.12,72.11,98.84,0.91,5G,Xiaomi,No,Low,42.36,Yes,15,61,82.6
Germany,38,Teacher,None,43091.25,4.88,85,3.66,-0.02,2.25,1.66,1.56,5.72,1.36,58.5,43.49,63.54,99.88,0.19,4G,Xiaomi,No,Severe,22.04,No,9,111,67.72
India,17,Manager,PhD,13863.74,5.56,58,2.67,1.92,3.25,2.16,1.37,5.67,1.54,78.56,34.31,89.73,63.77,1.94,4G,Xiaomi,No,Severe,34.47,Yes,18,28,29.77
Nigeria,47,Artist,Master's,28528.62,9.18,88,2.81,1.21,3.73,2.01,2.57,6.09,1.18,79.83,45.83,98.4,76.86,1.54,WiFi,Other,No,High,25.39,No,19,160,58.95
USA,62,Student,High School,62484.72,6.87,53,2.69,2.99,1.73,1.26,2,5.68,1.07,55.67,56.57,81.09,65.26,3.4,3G,Apple,Yes,High,17.15,Yes,18,89,40.94
Germany,42,Salesperson,None,42534.62,7.72,108,0.72,0.48,4.21,1.73,0.81,7.42,2.19,63.37,72.28,95.69,89.11,2.54,WiFi,Xiaomi,No,Severe,28.43,No,15,139,10.96
Russia,34,Unemployed,None,48243.73,5.45,109,2.15,2.12,2.05,1.98,2.28,6.73,0.95,14.52,73.58,81.41,95.95,1.59,4G,Xiaomi,Yes,Low,22.1,Yes,17,63,58.83
Mexico,66,Student,Master's,26120.83,9.69,83,1.24,1.58,1.85,2.15,0.61,6.76,0.96,75.76,8.95,13.34,32.51,2.64,5G,Other,Yes,High,43.65,Yes,11,75,89.02
China,32,Unemployed,PhD,10927.61,7.23,77,2.07,0.66,3.28,0.66,2.61,6.71,0.83,92.29,90.53,11.02,34.39,0.03,WiFi,Other,Yes,High,13.82,No,14,68,44.07
UK,46,Student,Bachelor's,12708.12,9.25,65,2.59,0.99,0.74,1.09,0.95,4.96,0.49,47.99,31,82.24,55.28,0.01,5G,Huawei,Yes,Moderate,15.6,Yes,15,120,86.55
Brazil,27,Salesperson,Master's,52830.16,4.56,98,1.34,3.93,3.21,1.65,1.86,6.23,1.18,80.13,40.45,94.74,42.98,0.32,3G,OnePlus,Yes,High,30.48,Yes,8,82,55.6
China,37,Doctor,Bachelor's,50032.14,6.17,54,3.43,1.07,1.67,1.94,1.28,7.97,0.77,65.88,9.34,2.02,76.9,1.15,4G,Huawei,Yes,High,24.92,Yes,14,92,59.2
China,25,Teacher,High School,31163.24,6.53,75,1.52,-0.13,-1.03,1.34,1.96,7.56,1.76,21.55,14.31,41.51,2.16,0.98,3G,Xiaomi,Yes,High,11.21,Yes,19,116,76.07
Mexico,57,Teacher,PhD,35511.04,6.44,49,1.77,0.89,1.81,0.94,3.66,6.51,-0.01,65.48,40.72,81.61,58.22,1.57,3G,Other,No,High,24.3,Yes,17,144,85.57
UK,31,Student,High School,38344.74,8.83,120,0.99,1.03,2.06,1.14,2.06,6.1,0.43,66.24,36.8,89.56,70.19,0.93,WiFi,Samsung,Yes,Severe,24.13,No,13,126,7.09
Brazil,34,Doctor,High School,28172.69,9.2,30,2.71,0.24,1.65,1.88,2.37,8.51,0.65,36.67,65.96,45.73,59.98,0,4G,Samsung,No,Severe,8.5,No,11,152,43.01
China,16,Unemployed,None,22885.39,5.1,69,2.82,2.06,1.93,0.75,1.57,6.98,1.24,88.38,30.27,47.69,98.91,2.92,3G,Apple,No,High,37.69,No,8,59,37.46
Russia,21,Doctor,PhD,50990.32,5.63,60,-0.04,1.09,3.39,2.25,2.62,7.06,1.03,7.33,70.8,69.04,62.79,1.44,4G,Xiaomi,No,Moderate,25.95,No,14,84,53.32
UK,25,Doctor,High School,24001.72,5.09,64,4.05,2.61,-0.48,1.62,1.15,4.94,0.5,31.06,63.01,39.36,30.55,2.63,WiFi,Huawei,No,High,21.62,No,20,107,90.12
Germany,25,Unemployed,High School,59738.4,3.2,69,3.31,1.78,2.24,1.15,1.74,6.94,0.33,62.13,15.61,46.93,49.47,1.45,5G,Apple,No,Low,32.37,Yes,18,67,23.12
Brazil,59,Manager,High School,16298.43,5.25,91,1.85,0,0.59,1.22,2.27,5.9,1.5,50.48,30.54,38.26,70.9,2.21,4G,Apple,Yes,High,29.65,No,16,58,34.4
Japan,14,Doctor,High School,21647.36,7.28,101,1.19,2.02,0.65,2.23,3.13,7.51,-0.84,30.22,52.72,65.14,34.35,1.73,WiFi,Huawei,No,Severe,35.58,No,12,76,86.85
Brazil,50,Unemployed,High School,28480.64,4.63,118,3.4,4.86,1.97,2.31,0.8,6.26,0.33,65.63,14.28,46.05,87.64,1.97,5G,Samsung,No,Low,19.01,No,13,122,10.24
Brazil,42,Unemployed,Bachelor's,34912.73,5.99,87,-0.37,1.43,2.78,1.68,0.34,8.21,0.25,61.22,76.34,83.18,45.3,1.99,5G,Samsung,No,Moderate,16.92,No,12,74,71.71
China,23,Student,High School,40365.08,5.22,74,2.7,0.41,-0.51,0.76,0.17,6.56,0.06,13.94,5.95,65.65,14.5,1.64,5G,OnePlus,Yes,High,12.46,Yes,18,99,5.36
UK,55,Doctor,High School,11564.19,6.72,63,0.25,1.1,-0.06,1.81,1.29,5.24,0.19,29.64,46.71,39.98,6.84,0.65,4G,Samsung,No,High,29.67,Yes,14,119,94.71
Japan,59,Doctor,None,47005.77,8.95,105,1.05,1.96,1.17,1.92,4.96,5.22,1.33,31.85,73.41,42.08,56.05,2.27,3G,Apple,Yes,Moderate,29.23,Yes,15,74,75.53
Mexico,55,Salesperson,Bachelor's,9517.08,6.12,77,3.24,2.05,0.72,0.86,2.08,6.63,0.69,52.36,45.07,84.1,16.22,1.63,3G,OnePlus,No,Low,8.02,Yes,16,91,93.7
Nigeria,13,Unemployed,Master's,155.29,6.81,63,4.07,0.89,0.67,1.43,1.9,7.07,0.85,94.57,82.3,11.24,18.05,1.95,3G,OnePlus,Yes,High,1.95,No,9,114,9.58
Brazil,39,Student,None,20238.23,4.09,84,2.99,0.55,1.73,1.35,1.2,7.22,1.16,27.86,49.68,66.16,67.93,1.5,3G,OnePlus,No,High,33.77,Yes,8,105,21.08
UK,65,Doctor,PhD,48786.48,4.27,50,1.89,2.75,2.68,1.5,3.78,7.57,0.7,87.39,82.16,37.88,38.73,0.67,WiFi,Huawei,No,Low,19.81,Yes,14,101,11
Russia,44,Manager,High School,39615.51,9.74,78,3.01,1.5,2.25,1.31,1.46,8.08,1.55,7.9,63.7,77.9,68.99,0.72,4G,OnePlus,No,Severe,34.63,No,14,48,80.59
